run,top20_share,modularity_proxy
1,0.2878242074927954,0.009013290119509338
2,0.30331412103746397,0.009602687506747835
3,0.2835014409221902,0.00873065966829722
4,0.28170028818443804,0.008698737220639654
5,0.3047550432276657,0.009568429270237275
6,0.27557636887608067,0.00852277446038087
7,0.2780979827089337,0.00877010854670332
8,0.28710374639769454,0.009190550540242008
9,0.2910662824207493,0.009291508525110249
10,0.2770172910662824,0.00821522892807016
11,0.2849423631123919,0.008857311330548382
12,0.29755043227665706,0.009180428788545707
13,0.29214697406340057,0.00987363901369499
14,0.2842219020172911,0.008922972950526954
15,0.279178674351585,0.009044433970882575
16,0.29286743515850144,0.009776833542343181
17,0.276657060518732,0.008019801260703103
18,0.28530259365994237,0.009043395842503467
19,0.2842219020172911,0.00836861239608335
20,0.3025936599423631,0.009958765540781836
21,0.2842219020172911,0.009007061349234692
22,0.2777377521613833,0.008627884958765542
23,0.2788184438040346,0.008891310034964163
24,0.2780979827089337,0.007981130978581335
25,0.2961095100864553,0.01019286349027066
26,0.28278097982708933,0.008652021443579799
27,0.2734149855907781,0.008087279605345115
28,0.2892651296829971,0.009135270204054514
29,0.2680115273775216,0.007811137456502421
30,0.2838616714697406,0.008666295708792533
31,0.2910662824207493,0.008900393658281358
32,0.2964697406340058,0.00972466759129301
33,0.2903458213256484,0.009276455663613185
34,0.28061959654178675,0.009100752435449177
35,0.29322766570605185,0.009872081821126328
36,0.2896253602305475,0.009342895879876089
37,0.26981268011527376,0.007629464990158543
38,0.2842219020172911,0.008536789193498824
39,0.2824207492795389,0.008709637568620286
40,0.29286743515850144,0.009232854271690655
41,0.2914265129682997,0.00960813768073815
42,0.2842219020172911,0.008968910131302478
43,0.2849423631123919,0.008940880665066564
44,0.28602305475504325,0.009423091297162173
45,0.2835014409221902,0.009685737777076464
46,0.28061959654178675,0.008428045245787275
47,0.2964697406340058,0.009821732594739596
48,0.28638328530259366,0.009183024109493476
49,0.29214697406340057,0.009113988572282803
50,0.29755043227665706,0.008951781013047198
51,0.2910662824207493,0.009416602994792748
52,0.2968299711815562,0.00928112724131917
53,0.29430835734870314,0.0091793906601666
54,0.279178674351585,0.008399237183267032
55,0.2784582132564842,0.008945811774867328
56,0.27737752161383283,0.00875038410750027
57,0.2780979827089337,0.009058448704000532
58,0.27953890489913547,0.008650723783105914
59,0.2849423631123919,0.009390390253220275
60,0.2802593659942363,0.008722873705453911
61,0.295028818443804,0.009453975616440631
62,0.3022334293948127,0.009616961771960567
63,0.28710374639769454,0.008692248918270229
64,0.29971181556195964,0.009731415425757211
65,0.3000720461095101,0.00953624729048493
66,0.2968299711815562,0.009602427974653058
67,0.2964697406340058,0.009217282346004036
68,0.28061959654178675,0.008547689541479457
69,0.2903458213256484,0.009008359009708576
70,0.2964697406340058,0.009750880332865483
71,0.295028818443804,0.00934107915521265
72,0.27737752161383283,0.007959849346809624
73,0.29214697406340057,0.009215984685530152
74,0.2734149855907781,0.008481768389406107
75,0.2824207492795389,0.008523033992475646
76,0.28530259365994237,0.009533651969537161
77,0.2842219020172911,0.009152139790215017
78,0.28638328530259366,0.008697699092260546
79,0.2784582132564842,0.008153979353702797
80,0.2788184438040346,0.008734552649718876
81,0.2838616714697406,0.008936468619455356
82,0.29214697406340057,0.00909192834422676
83,0.2788184438040346,0.008326827728824258
84,0.2961095100864553,0.008968131535018147
85,0.2849423631123919,0.009195481650042771
86,0.2831412103746398,0.009299554020048336
87,0.2914265129682997,0.0096312360371733
88,0.2896253602305475,0.008848487239325964
89,0.2835014409221902,0.008886378925163401
90,0.2993515850144092,0.01002520575704474
91,0.28170028818443804,0.009095302261458861
92,0.29719020172910665,0.009281386773413948
93,0.29214697406340057,0.009335369449127558
94,0.289985590778098,0.00921780141019359
95,0.2910662824207493,0.00912099593884178
96,0.2889048991354467,0.00931538547782973
97,0.2777377521613833,0.009224808776752568
98,0.2896253602305475,0.009184062237872584
99,0.29214697406340057,0.009237006785207086
100,0.2849423631123919,0.008804885847403434
