agentId,weighted_degree,betweenness,pagerank
6888,1598.0,0.02911491448472005,0.0018236035783698445
22690,1587.0,0.009990029465159516,0.0013529679599278905
6817,1572.0,0.009990029465159516,0.0013334406439468739
23645,1567.0,0.009990029465159516,0.0013269196299305905
19889,1567.0,0.009990029465159516,0.0013269196299305905
13640,1567.0,0.009990029465159516,0.0013269196299305905
22701,1567.0,0.009990029465159516,0.0013269196299305905
10841,1567.0,0.009990029465159516,0.0013269196299305905
10303,1448.0,0.010492430203372203,0.001173850677244199
2364,1434.0,0.009771653261296935,0.0011385195547241255
22697,1432.0,0.00980203965502087,0.0011358259222105733
22882,1432.0,0.00980203965502087,0.0011358259222105733
22703,1432.0,0.00980203965502087,0.0011358259222105733
22727,1432.0,0.00980203965502087,0.0011358259222105733
22732,1432.0,0.00980203965502087,0.0011358259222105733
22734,1432.0,0.00980203965502087,0.0011358259222105733
22869,1432.0,0.00980203965502087,0.0011358259222105733
23963,1432.0,0.00980203965502087,0.0011358259222105733
22741,1432.0,0.00980203965502087,0.0011358259222105733
22745,1432.0,0.00980203965502087,0.0011358259222105733
22859,1432.0,0.00980203965502087,0.0011358259222105733
22848,1432.0,0.00980203965502087,0.0011358259222105733
22750,1432.0,0.00980203965502087,0.0011358259222105733
22759,1432.0,0.00980203965502087,0.0011358259222105733
22823,1432.0,0.00980203965502087,0.0011358259222105733
22797,1432.0,0.00980203965502087,0.0011358259222105733
22776,1432.0,0.00980203965502087,0.0011358259222105733
23073,1432.0,0.00980203965502087,0.0011358259222105733
23193,1432.0,0.00980203965502087,0.0011358259222105733
23040,1432.0,0.00980203965502087,0.0011358259222105733
23580,1432.0,0.00980203965502087,0.0011358259222105733
23550,1432.0,0.00980203965502087,0.0011358259222105733
23953,1432.0,0.00980203965502087,0.0011358259222105733
23959,1432.0,0.00980203965502087,0.0011358259222105733
10284,1101.0,6.165746840209436e-07,0.0007132124087543271
10821,1101.0,6.165746840209436e-07,0.0007132124087543271
10782,1101.0,6.165746840209436e-07,0.0007132124087543271
10781,1101.0,6.165746840209436e-07,0.0007132124087543271
10830,1101.0,6.165746840209436e-07,0.0007132124087543271
10283,1101.0,6.165746840209436e-07,0.0007132124087543271
10285,1101.0,6.165746840209436e-07,0.0007132124087543271
10664,1101.0,6.165746840209436e-07,0.0007132124087543271
10643,1101.0,6.165746840209436e-07,0.0007132124087543271
10298,1101.0,6.165746840209436e-07,0.0007132124087543271
10642,1101.0,6.165746840209436e-07,0.0007132124087543271
10625,1101.0,6.165746840209436e-07,0.0007132124087543271
10476,1101.0,6.165746840209436e-07,0.0007132124087543271
10612,1101.0,6.165746840209436e-07,0.0007132124087543271
10475,1101.0,6.165746840209436e-07,0.0007132124087543271
10601,1101.0,6.165746840209436e-07,0.0007132124087543271
10557,1101.0,6.165746840209436e-07,0.0007132124087543271
10302,1101.0,6.165746840209436e-07,0.0007132124087543271
10549,1101.0,6.165746840209436e-07,0.0007132124087543271
10305,1101.0,6.165746840209436e-07,0.0007132124087543271
10530,1101.0,6.165746840209436e-07,0.0007132124087543271
10498,1101.0,6.165746840209436e-07,0.0007132124087543271
10477,1101.0,6.165746840209436e-07,0.0007132124087543271
10328,1101.0,6.165746840209436e-07,0.0007132124087543271
10340,1101.0,6.165746840209436e-07,0.0007132124087543271
10359,1101.0,6.165746840209436e-07,0.0007132124087543271
10410,1101.0,6.165746840209436e-07,0.0007132124087543271
10299,1101.0,6.165746840209436e-07,0.0007132124087543271
4452,1101.0,6.165746840209436e-07,0.0007132124087543271
10268,1101.0,6.165746840209436e-07,0.0007132124087543271
9408,1101.0,6.165746840209436e-07,0.0007132124087543271
9449,1101.0,6.165746840209436e-07,0.0007132124087543271
9440,1101.0,6.165746840209436e-07,0.0007132124087543271
9438,1101.0,6.165746840209436e-07,0.0007132124087543271
9431,1101.0,6.165746840209436e-07,0.0007132124087543271
9421,1101.0,6.165746840209436e-07,0.0007132124087543271
9417,1101.0,6.165746840209436e-07,0.0007132124087543271
9416,1101.0,6.165746840209436e-07,0.0007132124087543271
9410,1101.0,6.165746840209436e-07,0.0007132124087543271
9409,1101.0,6.165746840209436e-07,0.0007132124087543271
9405,1101.0,6.165746840209436e-07,0.0007132124087543271
10233,1101.0,6.165746840209436e-07,0.0007132124087543271
9339,1101.0,6.165746840209436e-07,0.0007132124087543271
9193,1101.0,6.165746840209436e-07,0.0007132124087543271
9123,1101.0,6.165746840209436e-07,0.0007132124087543271
9076,1101.0,6.165746840209436e-07,0.0007132124087543271
9040,1101.0,6.165746840209436e-07,0.0007132124087543271
9018,1101.0,6.165746840209436e-07,0.0007132124087543271
8912,1101.0,6.165746840209436e-07,0.0007132124087543271
8851,1101.0,6.165746840209436e-07,0.0007132124087543271
8833,1101.0,6.165746840209436e-07,0.0007132124087543271
9582,1101.0,6.165746840209436e-07,0.0007132124087543271
9619,1101.0,6.165746840209436e-07,0.0007132124087543271
9629,1101.0,6.165746840209436e-07,0.0007132124087543271
9649,1101.0,6.165746840209436e-07,0.0007132124087543271
10232,1101.0,6.165746840209436e-07,0.0007132124087543271
10218,1101.0,6.165746840209436e-07,0.0007132124087543271
10833,1101.0,6.165746840209436e-07,0.0007132124087543271
10172,1101.0,6.165746840209436e-07,0.0007132124087543271
10126,1101.0,6.165746840209436e-07,0.0007132124087543271
10122,1101.0,6.165746840209436e-07,0.0007132124087543271
10106,1101.0,6.165746840209436e-07,0.0007132124087543271
10066,1101.0,6.165746840209436e-07,0.0007132124087543271
10061,1101.0,6.165746840209436e-07,0.0007132124087543271
10048,1101.0,6.165746840209436e-07,0.0007132124087543271
9919,1101.0,6.165746840209436e-07,0.0007132124087543271
9908,1101.0,6.165746840209436e-07,0.0007132124087543271
9885,1101.0,6.165746840209436e-07,0.0007132124087543271
9841,1101.0,6.165746840209436e-07,0.0007132124087543271
9827,1101.0,6.165746840209436e-07,0.0007132124087543271
9777,1101.0,6.165746840209436e-07,0.0007132124087543271
9764,1101.0,6.165746840209436e-07,0.0007132124087543271
9744,1101.0,6.165746840209436e-07,0.0007132124087543271
9693,1101.0,6.165746840209436e-07,0.0007132124087543271
10217,1101.0,6.165746840209436e-07,0.0007132124087543271
10891,1101.0,6.165746840209436e-07,0.0007132124087543271
10844,1101.0,6.165746840209436e-07,0.0007132124087543271
12550,1101.0,6.165746840209436e-07,0.0007132124087543271
