agentId,community_id
8193,1
12317,1
12323,1
16431,1
20530,1
12339,1
12340,1
8247,1
16449,1
8260,1
16454,1
12361,1
16461,1
16468,1
16473,1
4205,1
20591,1
12400,1
4213,1
4240,1
4253,1
4264,1
12462,1
16582,1
4297,1
4311,1
4312,1
4321,1
4322,1
12545,1
12550,1
4359,1
16647,1
12553,1
8460,1
16663,1
20765,1
4389,1
300,1
16699,1
4428,1
20812,1
4434,1
8533,1
4439,1
16729,1
4441,1
8547,1
4452,1
4455,1
20843,1
4461,1
12655,1
16752,1
16761,1
20863,1
16773,1
8584,1
8588,1
4499,1
20889,1
16812,1
8628,1
8632,1
8634,1
4540,1
8657,1
12764,1
4574,1
8673,1
4578,1
4582,1
8681,1
20977,1
8711,1
16903,1
21002,1
8719,1
16918,1
21019,1
8733,1
12839,1
552,1
553,1
554,1
8745,1
12843,1
12845,1
4677,1
601,1
4701,1
21112,1
8833,1
12931,1
4745,1
651,1
8851,1
17058,1
17061,1
21164,1
4782,1
4796,1
12989,1
4801,1
4812,1
17101,1
8912,1
4823,1
4833,1
4835,1
4836,1
21220,1
4838,1
4839,1
17134,1
752,1
4849,1
13041,1
21236,1
21242,1
21252,1
4881,1
21267,1
4885,1
4895,1
802,1
13092,1
13097,1
13104,1
4917,1
17209,1
9018,1
4931,1
4942,1
17231,1
9040,1
4947,1
4955,1
13147,1
4959,1
4963,1
4965,1
4971,1
4974,1
17263,1
4976,1
4977,1
4979,1
9076,1
13173,1
4985,1
4986,1
4989,1
17277,1
5003,1
5008,1
5009,1
5019,1
17307,1
21404,1
5023,1
5026,1
9123,1
5028,1
5035,1
13228,1
5037,1
5046,1
5048,1
953,1
5055,1
5059,1
5062,1
17355,1
13270,1
9193,1
21484,1
17394,1
13307,1
21499,1
13316,1
13327,1
21524,1
21525,1
13343,1
5153,1
5160,1
21549,1
13359,1
21551,1
21552,1
5171,1
5172,1
21564,1
13374,1
17473,1
13382,1
5191,1
13383,1
5198,1
21584,1
21585,1
21586,1
5203,1
5206,1
5211,1
21616,1
5233,1
21617,1
5236,1
9339,1
21630,1
1152,1
1154,1
1155,1
17540,1
21642,1
13455,1
