agentId,weighted_degree,betweenness,pagerank
6888,1598.0,0.02911491448472005,0.0018236035783698445
22690,1587.0,0.009990029465159516,0.0013529679599278905
6817,1572.0,0.009990029465159516,0.0013334406439468739
23645,1567.0,0.009990029465159516,0.0013269196299305905
19889,1567.0,0.009990029465159516,0.0013269196299305905
13640,1567.0,0.009990029465159516,0.0013269196299305905
22701,1567.0,0.009990029465159516,0.0013269196299305905
10841,1567.0,0.009990029465159516,0.0013269196299305905
10303,1448.0,0.010492430203372203,0.001173850677244199
2364,1434.0,0.009771653261296935,0.0011385195547241255
22697,1432.0,0.00980203965502087,0.0011358259222105733
22882,1432.0,0.00980203965502087,0.0011358259222105733
22703,1432.0,0.00980203965502087,0.0011358259222105733
22727,1432.0,0.00980203965502087,0.0011358259222105733
22732,1432.0,0.00980203965502087,0.0011358259222105733
22734,1432.0,0.00980203965502087,0.0011358259222105733
22869,1432.0,0.00980203965502087,0.0011358259222105733
23963,1432.0,0.00980203965502087,0.0011358259222105733
22741,1432.0,0.00980203965502087,0.0011358259222105733
22745,1432.0,0.00980203965502087,0.0011358259222105733
