"blockNumber","transactionHash","logIndex","address","event","agentId","clientAddress","indexedTag1","feedbackIndex","value","valueDecimals","tag1","tag2","endpoint","feedbackURI","feedbackHash"
"24433691","0x8ca3feec1a209b72e8c48c5257b19b86fe7526739824d9c83a2533ffa2cb17b3","598","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","2582","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0xf32a9c3077a9b8e2ccb97670cf9722e808c2460acba29dc22f29ebc72c4604f1","2","100","0","liveness","liveness-check","Liveness: reachable=True, endpoint=https://ag0.xyz","","0x75c55a0bd3b7fc14638557ba4e78f98cb99c00bd40ad93846c7b697fef048e36"
"24433694","0xe7d2682ce4fd9fc48fbd3525f52f27b43e63b32233fce07715bd840f34d5bcc5","626","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","2840","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0xf32a9c3077a9b8e2ccb97670cf9722e808c2460acba29dc22f29ebc72c4604f1","1","100","0","liveness","liveness-check","Liveness: reachable=True, endpoint=https://ag0.xyz","","0xcb21f064a989f6506c253f7bc66997b12d1813f8f11d294c42b5f469e676fd9c"
"24433698","0x284b014e661faaee89c16d04c5efd051ba76c8da4eb3fb83e71e87b9277c578e","615","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","3139","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0xf32a9c3077a9b8e2ccb97670cf9722e808c2460acba29dc22f29ebc72c4604f1","1","100","0","liveness","liveness-check","Liveness: reachable=True, endpoint=https://ag0.xyz","","0x32385795217824cb33a7f58db89734020c07a14f9a36bd9f6b5454cb4f903134"
"24433703","0x377f637e29133e7d2f7befe3727ec8d72f4d269f8ab5c5e3c24fc8332be1d4af","511","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","5990","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0xf32a9c3077a9b8e2ccb97670cf9722e808c2460acba29dc22f29ebc72c4604f1","1","100","0","liveness","liveness-check","Liveness: reachable=True, endpoint=https://ag0.xyz","","0x7968d8031ff999f7d5ba40ca6996c4254b8dbdc682df2ff8708c713de5aa51d7"
"24433710","0x70659574707951e63b6ba13b0086ad9eb336e04570a977fcb4fa6421652f2460","578","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","2423","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0xf32a9c3077a9b8e2ccb97670cf9722e808c2460acba29dc22f29ebc72c4604f1","3","100","0","liveness","liveness-check","Liveness: reachable=True, endpoint=https://ag0.xyz","","0xd1bd222e121fcf76d2e05165a89064a751a69e781ba920fe7e8378974e451196"
"24433714","0xe11a6435ed4d410c50bf36c9a6411aa75e632bc101a63e5b9da1343b7c7a1d76","484","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","3028","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0xf32a9c3077a9b8e2ccb97670cf9722e808c2460acba29dc22f29ebc72c4604f1","1","100","0","liveness","liveness-check","Liveness: reachable=True, endpoint=https://ag0.xyz","","0x15da471541595635eb6d2048bccdb406ee6790752c79f06a3f5e98a84214aa69"
"24433720","0x83c2e99a64d22850dde73d1a9faefffe4fb9c63fbead577ed811e2c6d2bee989","307","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","20863","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x8f04e1ec5494c1b85a7bb4b8d5eeddb6c3d4f73a353d06d2c53e93a05b0be658"
"24433724","0xd153a5860b85f6175155f6af8e20ae48a9f87a26d7cfe29a97e62678a5d04a62","327","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","15764","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x686bf163e614c67dbec564f44c73cd2bf6fa13d6ea014572ac04dac897d5c052"
"24433727","0x12b8f64d7f19adedf40e4e0a6f1f3210ad9df062520665b781454c75a2e3c8aa","557","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","17571","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0xbab1011929df8d1b095f82bd3bdcdc0939fd3b207bd7f36a764534215f123327"
"24433730","0x1070f3814227a6457e13be5c90399e28cf00540f37c21c8971fb7f030d8206ac","566","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","22298","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x93105d330222743c914c1df24178c91a5caac96bb93d16739c06a0633c706c5d"
"24433733","0xc81eee790558999a2858eacbc41679c9bf392339705fa95bd8e1a7a51a364796","844","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","22797","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0xf32a9c3077a9b8e2ccb97670cf9722e808c2460acba29dc22f29ebc72c4604f1","1","100","0","liveness","liveness-check","Liveness: reachable=True, endpoint=https://tech-pulse-production.up.railway.app/.well-known/erc8004.json","","0x1b71ebad06cce29f2f436cadccc8c634dab632ac807f98be2ac4768f74fd524b"
"24433739","0x807462514328a7e42f6f22f7b8b560f921a153bf6212a84dddbe66c6aca2bcc6","454","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","6983","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x9154760211cba5c52ac5bc409ac348e992cb30bd1cc1fb093431b236ac2ec99d"
"24433743","0x4a0a20f00b17c91ca3e01dc67acd4d46b003b26eff44d8a5c1b12c562d1bc3a0","760","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","19969","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0xe6d888a063525c4af7c159f871ec2a65bc24eedd8b939d14f4bada30cc4ebbfa"
