agentId,weighted_in_degree
6888,140
22721,129
14645,106
13445,82
10307,48
9382,44
9380,27
22690,24
20014,22
25255,22
22602,21
22771,20
22688,17
12518,16
22669,12
12267,12
12288,12
12276,11
19837,10
13026,10
