delta_b,mean_cum,p50,p25,p75
0,0.014799154334038,0.0,0.0,0.0
50000,0.0362931642001409,0.0,0.0,0.0
100000,0.0729034531360112,0.0,0.0,0.0
150000,0.0808668076109936,0.0,0.0,0.0
200000,0.0868569415081043,0.0,0.0,0.0
260000,0.097815362931642,0.0,0.0,0.0
